Date,nps,Comment
17/04/2023 16:16,10,AGIL Y FACIL PROCESO
17/04/2023 16:15,10,"Es fácil, rápido y muy claro."
17/04/2023 16:13,10,Es rápido y fácil
17/04/2023 16:13,10,facil
17/04/2023 16:12,9,es facil
17/04/2023 16:12,10,fasilidad
17/04/2023 16:08,10,es muy agil el tramite
17/04/2023 16:08,10,Facilidad de uso
17/04/2023 16:01,9,na
17/04/2023 15:56,10,FACIL DE USAR
17/04/2023 15:51,9,excelente servicio
17/04/2023 15:50,10,por lo sencillo y el tiempo de ahorro en el aeropuerto
17/04/2023 15:45,10,gracias
17/04/2023 15:42,10,POR LOS SERVICIOS
17/04/2023 15:39,10,muy agil
17/04/2023 15:35,10,buen servicio
17/04/2023 15:32,10,Facil de utilizar
17/04/2023 15:23,10,Muy fácil y muy rápido
17/04/2023 15:23,9,Facilidad
17/04/2023 15:22,10,por disminución de tiempo por las largas filas que se hacen.
17/04/2023 15:12,10,"Hasta ahora, la pagina ha sido amigable y facil de entender"
17/04/2023 15:10,9,b
17/04/2023 14:54,10,sencillo y claro
17/04/2023 14:50,10,MUY FACIL
17/04/2023 14:03,10,bu en servicio
17/04/2023 13:28,10,Muy sencillo
17/04/2023 13:19,10,HASTA AHORA TODO ME HA SALIDO BIEN
17/04/2023 13:02,10,Muy facil y rapido
17/04/2023 12:19,10,Fácil de usar
17/04/2023 11:24,10,BUEN SERVICIO Y BUEN PRECIO
17/04/2023 08:07,9,rapidez
17/04/2023 07:08,10,Es fácil y práctico
17/04/2023 07:04,10,Es la primera vez que viajo por Viva Aerobus y hasta ahora ha sido una muy buena experiencia
17/04/2023 05:11,10,por su rapidez
17/04/2023 05:03,9,Es sencilla y tiene buenas ofertas.
17/04/2023 04:02,10,FACIL Y RAPIDO
17/04/2023 03:16,10,muy intuitiva y rapido el procedimiento
17/04/2023 02:58,10,OK
17/04/2023 02:36,10,practico
17/04/2023 02:21,10,"Es muy amigable la pagina, no se traba y es muy claro todo"
17/04/2023 02:11,10,Bien!
17/04/2023 01:51,9,BUEN SERVICIO
17/04/2023 01:34,9,muy sencillo
17/04/2023 01:24,9,Es bueno
17/04/2023 00:59,10,Fue rapido el tema
17/04/2023 00:41,10,POR QUE ES LA MEJOR OPCION PARA AGILIZAR EL ABORDAJE
17/04/2023 00:40,9,.
17/04/2023 00:37,9,Por economia
17/04/2023 00:33,10,LAS VECES QUE UTILIZADO EL SERVICIO HE QUEDADO SATISF
17/04/2023 00:26,10,exelentemente explicado
17/04/2023 00:22,10,m
16/04/2023 23:56,10,PRACTICO
16/04/2023 23:53,10,por su buen servicio
16/04/2023 23:48,10,Al parecer es muy fácil
16/04/2023 23:36,10,MUY SENCILLO DE UTILIZAR
16/04/2023 23:36,10,Fue rápido y efectivo
16/04/2023 23:08,9,RAPIDA
16/04/2023 22:57,10,PAGINA RAPIDA Y AMIGABLE
16/04/2023 22:40,10,FUE RAPIDO Y FACIL
16/04/2023 22:29,9,muy sencillo
16/04/2023 22:21,9,ENLACES DIRECTOS
16/04/2023 22:06,10,FUE MUY SENCILLO
16/04/2023 22:00,10,Eficiente
16/04/2023 21:56,10,Rapido
16/04/2023 21:47,10,EFCIENTE SERVICIO
16/04/2023 21:21,10,excelente servicio
16/04/2023 21:09,9,facil y rapido
16/04/2023 21:03,10,:)
16/04/2023 21:00,10,FACCIL Y RAPIDO
16/04/2023 20:32,10,bien
16/04/2023 20:30,10,eS MUY RAPIDO
16/04/2023 20:27,10,indicaciones para imprimir los pases de abordar
16/04/2023 20:24,10,eficiencia
16/04/2023 20:05,10,MUY SENCILLO
16/04/2023 20:03,10,fue facil de hacerlo
16/04/2023 19:45,10,Muy fácil y rápido
16/04/2023 19:39,10,facil y rapido
16/04/2023 19:36,10,super rapido sencillo y facil de hacer
16/04/2023 19:32,10,rapido y facil
16/04/2023 19:31,10,FACIL DE MANEJAR
16/04/2023 19:30,10,"Fue muy agil el proceso, excelente servicio"
16/04/2023 19:12,9,TODO OK
16/04/2023 18:31,10,FACIL Y SENCILLO
16/04/2023 18:28,10,buena aereolinea
16/04/2023 18:24,9,porque es seguro ya he viajado varias veces por este linea.
16/04/2023 18:14,9,CONFIABLE
16/04/2023 17:45,10,excelente servicio
16/04/2023 17:32,10,"es la primera vez que voy a viajar, y la información es clara."
16/04/2023 17:11,10,no
16/04/2023 17:07,10,muy buen servicio
16/04/2023 17:06,10,eficacia
16/04/2023 16:47,10,excelente servicio
16/04/2023 16:40,10,"ES LA MEJOR LINEA AEREA DE BAJO COSTO EN MEXICO! HE TENIDO PROBLEMAS? SI, PERO SIGUE SIENDO LA MEJOR LINEA AEREA DE BAJO COSTO EN MEXICO"
16/04/2023 16:34,10,EFICIENCIA
16/04/2023 16:34,10,es rapido
16/04/2023 16:21,9,RAPIDO
16/04/2023 16:20,9,facil y amigable
16/04/2023 16:13,10,EFICIENTE
16/04/2023 15:58,10,rapidez
16/04/2023 15:42,10,eficiente rapidez
16/04/2023 15:35,10,Sencillo y fácil
16/04/2023 15:27,10,excelente servicio
16/04/2023 15:05,9,Rapidez
16/04/2023 14:26,9,cambios de tarifas
16/04/2023 13:07,10,POR LO EXTRAORDINARIO DE SU SERVICIO Y NOVEDOSO
16/04/2023 12:35,10,.
16/04/2023 06:57,10,OK
16/04/2023 06:47,10,Es muy fácil hacer el Check Inn
16/04/2023 06:06,10,Bueno
16/04/2023 05:43,9,FACIL Y RAPIDO
16/04/2023 05:42,10,Porque sí.
16/04/2023 05:33,10,Check-in rapido y facil
16/04/2023 05:29,10,RAPIDEZ
16/04/2023 05:22,9,facil y practica la pagina
16/04/2023 05:00,10,"solo que me cambiaron los precios , yo quería comprar viva fan y tampoco me dejó"
16/04/2023 04:43,10,POR QUE ES LA MEJOR AEROLINEA DE MEXICO
16/04/2023 04:26,10,Excelencia en servicio
16/04/2023 03:52,10,Muy rápido
16/04/2023 03:22,10,es facil de llenar la forma. solo que cambiaron el asiento de casi $80 a mas de $200 al momento que hacia el llenado de la reserva
16/04/2023 03:08,9,es facil
16/04/2023 03:03,9,"En la aplicación piden inforación adicional al numero de pasaporte y no indica clarmente cual es esa información, y en el telefono casi una hora para atender mi llamada."
16/04/2023 02:54,10,Es muy Interativo
16/04/2023 02:17,10,Porque es muy facil
16/04/2023 02:10,10,me gusta el servicio que brinda la aerolinea
16/04/2023 01:50,10,FLEXIBLE
16/04/2023 01:49,9,POR LO DINÁMICO
16/04/2023 01:40,10,por que es muy ágil
16/04/2023 01:37,10,FUE MUY RAPIDO
16/04/2023 01:33,10,Buen precio y eficiente
16/04/2023 01:25,9,eficacia
16/04/2023 01:09,10,Porque es facil
16/04/2023 00:35,9,Porque es fácil
16/04/2023 00:26,10,rapida
16/04/2023 00:16,9,por lo rapido
16/04/2023 00:12,10,son pasos faciles y muy sencillos .
15/04/2023 23:48,9,es practico
15/04/2023 23:39,9,Sistema amigable y agil
15/04/2023 23:34,10,facil y rapido
15/04/2023 23:31,9,Es amigable
15/04/2023 22:53,9,facil
15/04/2023 22:03,9,X
15/04/2023 22:02,10,Fácil
15/04/2023 21:42,9,bUENOS VUELOS
15/04/2023 21:39,9,ES BUENO
15/04/2023 21:29,10,rapido y sencillo
15/04/2023 21:27,9,por practico y economico los vuelos
15/04/2023 21:17,10,muy facil y rapido
15/04/2023 21:16,10,ok
15/04/2023 21:01,10,por que si
15/04/2023 20:51,10,Facil
15/04/2023 20:51,10,Todo tramite es facil y rapido
15/04/2023 20:32,10,ES SENCILLO
15/04/2023 20:23,10,genial
15/04/2023 19:57,10,muy facil de usar
15/04/2023 19:35,10,Es fácil y rápido muy sencillo y ahorramos tiempo.
15/04/2023 19:02,10,EL PROCESO ES BASTANTE CLARO Y SIMPLE
15/04/2023 18:53,10,TIENE BUENA ATENCION EN GENERAL CON LAS PERSONAS CON DISCAPACIDAD O AL MENOS EN MI CASO
15/04/2023 18:19,10,excelente pagina
15/04/2023 18:17,9,Va todo muy bien y a tiempo
15/04/2023 17:59,9,por que es práctico
15/04/2023 17:56,10,.
15/04/2023 17:46,9,PORQUE FUE MUY RÁPIDO
15/04/2023 17:44,9,Efectividad
15/04/2023 17:39,10,POR FACIL ACCESO
15/04/2023 17:38,10,Siempre he tenido buenas experiencias viajando con viva aerobus.
15/04/2023 17:35,10,muy ágil el proceso
15/04/2023 17:32,10,Porque fue muy rápido
15/04/2023 17:32,9,Agilidad
15/04/2023 17:27,9,ESTA FACIL Y RAPIDO
15/04/2023 17:13,10,RAPIDEZ Y SEGURIDAD
15/04/2023 17:12,10,Excelente todo
15/04/2023 17:04,10,facil
15/04/2023 16:56,10,Rapido!
15/04/2023 16:45,10,rapida y sencilla
15/04/2023 16:45,10,soy buenos y accecibles
15/04/2023 16:42,10,OK
15/04/2023 16:39,10,Es facil
15/04/2023 16:39,10,EXCELENTE SERVICIO
15/04/2023 16:38,9,Por practicidad
15/04/2023 16:19,10,RAPIDEZ
15/04/2023 16:12,10,RAPIDO ME LL
15/04/2023 16:08,10,economia
15/04/2023 15:45,10,la facilidad de seleccion
15/04/2023 15:26,10,excelente y simple manera de comprar
15/04/2023 15:17,10,POR EL SERVICIO
15/04/2023 15:14,10,HAY MUCHA FLEXIBILIDAD E INFORMACION FACIL
15/04/2023 15:12,9,Fue sencillo.
15/04/2023 15:11,10,economico
15/04/2023 14:57,10,bien
15/04/2023 14:55,10,ES FACIL EL PROCESO
15/04/2023 14:46,10,mas agilidad en los tramites
15/04/2023 14:20,10,ok
15/04/2023 14:17,10,rapidez y eficencia
15/04/2023 13:12,9,Facil y Rapido
15/04/2023 12:49,9,FUE RAPIDO
15/04/2023 09:47,10,Could not translate webpage to english.
15/04/2023 06:30,10,super facil
15/04/2023 06:09,10,Es muy rápido
15/04/2023 06:06,10,"Sencillo, rápido y eficiente"
15/04/2023 05:48,10,EFICIENCIA
15/04/2023 04:28,10,facil
15/04/2023 04:16,10,FÁCIL TRÁMITE
15/04/2023 03:57,10,ME PARECE MUY BIEN
15/04/2023 03:48,10,es muy facil hacer el check-in
15/04/2023 03:37,9,Excelente servicio de reservaciones
15/04/2023 03:32,10,excelente
15/04/2023 03:26,10,es rapida
15/04/2023 02:38,9,no vi mi asiento
15/04/2023 02:37,9,"esta sencillo, no di un 10 porque aveces no era obvio como continuar a la siguiente pantalla"
15/04/2023 02:36,10,porque si
15/04/2023 02:36,9,SON BUENOS
15/04/2023 02:29,10,bien
15/04/2023 01:44,10,cambiaron el modo de viajar en el pais
15/04/2023 01:24,9,ok
15/04/2023 01:24,10,COMODIDAD
15/04/2023 01:17,10,BIEN
15/04/2023 01:02,10,todo muy facil gracias
15/04/2023 00:34,10,practicidad
15/04/2023 00:08,9,Facilidad.
15/04/2023 00:01,10,ES MUY SENCILLO
14/04/2023 23:54,10,disponibilidad de vuelos
14/04/2023 23:42,10,"Facil de navegar su sitio web, los mejores precios!"
14/04/2023 23:37,10,rapides
14/04/2023 23:31,10,los quiero mucho
14/04/2023 23:18,10,Rápido y fácil de realizar
14/04/2023 23:05,9,ok
14/04/2023 23:05,10,FACILIDAD D RESERVAR
14/04/2023 23:04,9,Rapidez
14/04/2023 23:04,10,PARA EVITAR ATRASOS
14/04/2023 23:02,10,ES FACIL
14/04/2023 22:54,10,porque no imprimes en papel y es mucho mas sencillo el abordaje
14/04/2023 22:52,10,EXCELENTE SERVIVIO
14/04/2023 22:44,10,Andrea Perez de el call center fue muy amable!Gracias por su servicio y ayuda
14/04/2023 22:33,10,muy facil
14/04/2023 22:26,10,Buen servicio
14/04/2023 22:12,10,OK
14/04/2023 21:46,10,todo muy bien
14/04/2023 21:45,10,eficiencia y claridad en el servicio
14/04/2023 21:12,10,BUENA ATENION
14/04/2023 21:03,10,FACILIDAD DE VIAJAR Y DOCUMENTAR
14/04/2023 20:51,10,Pasos sencillos
14/04/2023 20:37,10,Muy buen servicio
14/04/2023 20:32,10,X
14/04/2023 20:27,10,Es muy sencillo
14/04/2023 20:04,10,FUE MUY SENCILLO HACER EL CHECK INN
14/04/2023 19:52,9,ME FUE MUY ACCESIBLE
14/04/2023 19:48,10,"Confío en VIVA Airlines. precio barato. Los vuelos de aerolíneas son numerosos. Muy selectivo. Además, el servicio de VIVA Airlines es de primera clase."
14/04/2023 19:46,9,Sin mayores inconvenientes
14/04/2023 19:45,9,ES SENCILLO
14/04/2023 19:40,9,ENCONTRE EL VUELO QUE NECESITABA
14/04/2023 19:37,10,es muy intuitiva y amigable
14/04/2023 19:36,10,facil
14/04/2023 19:35,10,precios
14/04/2023 19:33,9,ES AGIL Y RAPIDO
14/04/2023 19:29,10,ES SENCILLO EL MENÚ.
14/04/2023 19:16,10,rápido y sencillo
14/04/2023 19:01,10,es muy claro en sus indicaciones y restricciones.
14/04/2023 19:00,9,ok
14/04/2023 18:59,9,rapido
14/04/2023 18:57,10,Por ser muy rápido y practico
14/04/2023 18:46,10,ES FACIL
14/04/2023 18:44,10,facilidad
14/04/2023 18:44,10,Gracias
14/04/2023 18:39,10,me encanta su sistema
14/04/2023 18:20,10,ES MUY FACIL Y RAPIDO EL SERVICIO
14/04/2023 18:18,10,Fácil de hacer
14/04/2023 18:13,10,PORQUE ME PARECE MUY SEGURO EL VIAJE
14/04/2023 18:13,10,POR RAPIDO Y COMODO
14/04/2023 18:04,10,fácil y rápido
14/04/2023 18:04,10,Facilidad
14/04/2023 18:02,10,PORQUE ES MUY SENCILLO
14/04/2023 18:02,10,TODO HA SIDO OK EN LOS VUEKOS UE HE HECHO
14/04/2023 18:00,10,"BUENA ATENCION Y EXCELENTE SERVICIO, DESDE LA RESERVACION Y EL MOSTRADOR"
14/04/2023 17:58,9,"Bastante buena, muy intuitiva."
14/04/2023 17:54,10,Para eficientar el abordaje
14/04/2023 17:52,10,COOL
14/04/2023 17:48,10,Es muy fácil usar la página
14/04/2023 17:48,10,muy practico y fácil de realizar
14/04/2023 17:40,10,eficientes
14/04/2023 17:33,10,Muy bien
14/04/2023 17:27,10,excelente atencion en linea
14/04/2023 17:26,10,POR SERIEDAD Y CUMPLIMIENTO
14/04/2023 17:24,10,super rápido el proceso
14/04/2023 17:20,10,GRACIAS
14/04/2023 17:06,10,excelente
14/04/2023 17:03,10,agil
14/04/2023 17:02,9,ATENCION
14/04/2023 17:01,9,Fácil manejo
14/04/2023 17:00,10,muy practica
14/04/2023 16:53,10,Rapido y facil
14/04/2023 16:49,10,es muy rapido
14/04/2023 16:46,10,apenas lo haré pero bueno ya te califique
14/04/2023 16:36,9,facilidad
14/04/2023 16:35,10,Tienen buen sistema
14/04/2023 16:34,10,MUY RAPIDO Y SENCILLO.
14/04/2023 16:31,10,muy practico
14/04/2023 16:28,10,PUNTUALIDAD
14/04/2023 16:28,10,SERVICIO EXCELENTE
14/04/2023 16:22,10,Muy buen  servicio
14/04/2023 16:09,9,facil y rapido
14/04/2023 16:01,10,Excelente
14/04/2023 16:01,10,excelente servicio
14/04/2023 15:53,10,Sencillo
14/04/2023 15:43,9,FACIL Y RAPIDO
14/04/2023 15:42,9,EFICIENTE
14/04/2023 15:41,10,seervicio
14/04/2023 15:39,10,ES MUY FACIL CUMPLE MUY BIEN
14/04/2023 15:34,9,precio y caidad
14/04/2023 15:22,10,economico
14/04/2023 15:18,10,buen servicio
14/04/2023 15:17,10,RAPIDO
14/04/2023 15:10,10,me parecio perfecto y aparte rapido
14/04/2023 15:10,10,Rapidez
14/04/2023 14:54,10,ok
14/04/2023 14:41,10,Fácil y rápido
14/04/2023 14:29,10,PRECIO
14/04/2023 13:56,10,es muy fácil y muy amigable el sistema
14/04/2023 13:53,9,buen servicio
14/04/2023 13:08,10,facil
14/04/2023 12:37,10,Muy Sencillo
14/04/2023 12:32,9,si
14/04/2023 12:29,10,por el servicio atento
14/04/2023 08:47,10,SON LOS MEJORES!!!!
14/04/2023 06:43,10,facil de manejar
14/04/2023 05:58,10,j
14/04/2023 05:11,9,"Agil y fácil. lo que no entendí es porque cobran por reservar los asientos, aun en la clase economica"
14/04/2023 04:43,10,Porque agiliza el embarque
14/04/2023 04:43,10,Por precio
14/04/2023 04:25,10,Es muy sencillo
14/04/2023 04:12,9,PORQUE SI
14/04/2023 04:02,10,MEJORA EL SERVICIO
14/04/2023 03:28,10,excelente
14/04/2023 03:12,10,facil y rapido
14/04/2023 03:00,10,EASTA MUY FACIL DE REALIZARLO
14/04/2023 02:45,10,Muy fácil de usar.
14/04/2023 02:45,10,BUEN SERVICIO
14/04/2023 02:23,9,Proceso ágil
14/04/2023 01:43,10,facilidad
14/04/2023 01:25,9,rapido y facil
14/04/2023 01:18,10,NOMAS
14/04/2023 01:13,10,Muy facil
14/04/2023 01:13,10,TODO MUY FACIL Y ACCESIBLE
14/04/2023 00:52,10,muy amigable la pagina y practica . Gracias
14/04/2023 00:49,10,ES RÁPIDO
14/04/2023 00:41,10,porque
14/04/2023 00:38,10,es muy facil y rapido.
14/04/2023 00:33,9,es facil y rapido
14/04/2023 00:27,10,buen servicio
14/04/2023 00:26,9,Porque es fácil y rápido
14/04/2023 00:12,10,VUELOS A TIEMPO Y SERVICIO
13/04/2023 23:59,10,facil de usar
13/04/2023 23:59,10,Puntualidad en sus vuelos
13/04/2023 23:52,10,Excelente servicio
13/04/2023 23:47,10,Muy sencillo y rápido
13/04/2023 23:42,10,ES UN EXCELENTE SERVICIO
13/04/2023 23:36,9,FACIL
13/04/2023 23:36,10,"Precio Economico , todavia no me he subido al avion"
13/04/2023 23:35,10,MUY RAPIDOS Y EFICAZ
13/04/2023 22:37,10,porque es muy facil
13/04/2023 22:20,10,bueno
13/04/2023 22:11,10,EXCELENTE SERVICIO. MUY FACIL DE USAR
13/04/2023 21:50,9,RAPIDO
13/04/2023 21:47,10,eficinecia y precios
13/04/2023 21:34,10,ok
13/04/2023 21:32,9,facil de usar
13/04/2023 21:16,10,facilidad
13/04/2023 21:14,10,muy rapido
13/04/2023 21:13,10,RAPIDA Y SEGURA
13/04/2023 21:09,10,Rapida y eficiente
13/04/2023 20:51,10,rapido
13/04/2023 20:49,10,es rapidísimo!
13/04/2023 20:37,10,TE AGILIZA EL PROCESO
13/04/2023 20:36,10,EFECTIVA Y RÁPIDA
13/04/2023 20:34,10,por sencillo
13/04/2023 20:27,10,44R45R4
13/04/2023 20:25,9,Se ahorra tiempo
13/04/2023 20:22,10,Intuitivo
13/04/2023 20:01,10,si
13/04/2023 19:52,10,Es muy fácil y te ahorras hacer fila en el aeropuerto
13/04/2023 19:49,10,ahorra tiempo yes muy practico
13/04/2023 19:24,10,Pagina amigable
13/04/2023 19:16,10,RUTAS DIRECTAS
13/04/2023 19:15,9,BUEN SERVICIO
13/04/2023 19:10,10,..
13/04/2023 18:59,10,RAPIDEZ Y AMABILIDAD
13/04/2023 18:56,10,BUEN SERVICIO
13/04/2023 18:53,10,excelente servicio!!!
13/04/2023 18:50,10,MUY RAPIDO
13/04/2023 18:48,10,Geografía
13/04/2023 18:46,10,muy rapido
13/04/2023 18:38,10,buen servicio
13/04/2023 18:35,10,BUEN SERVICIO
13/04/2023 18:28,10,ES LA MEJOR EMPRESA AEREA. SE ESTA QUEDANDO CORTO AEROMEXICO
13/04/2023 18:22,10,facil
13/04/2023 18:21,9,Por la rapidez
13/04/2023 18:06,9,hasta el momento ha sido rápido
13/04/2023 18:00,10,MEJOR AEROLINEA
13/04/2023 17:58,10,EFICIENTE
13/04/2023 17:52,10,MUY ACCESIBLE
13/04/2023 17:49,10,MUY RAPIDO
13/04/2023 17:47,10,TODO FUE CLARO
13/04/2023 17:44,10,"Porque es como me gusta, Fácil y Rápido"
13/04/2023 17:32,10,OK
13/04/2023 17:29,10,Facil de utilizar
13/04/2023 17:28,9,OK
13/04/2023 17:24,10,MUY PRACTICA
13/04/2023 17:21,10,muy practico
13/04/2023 17:19,10,muy amigable la pagina
13/04/2023 17:15,10,Fácil y rapido
13/04/2023 17:14,10,SII
13/04/2023 17:06,10,ES BUENA
13/04/2023 16:56,9,muy sencilllo el registro
13/04/2023 16:49,10,bueno
13/04/2023 16:39,10,COMPRE MUY RAPIDO Y A BUEN PRECIO
13/04/2023 16:34,10,Facil
13/04/2023 16:29,10,Muy ágil
13/04/2023 16:27,10,Fué fácil
13/04/2023 16:27,9,facilidad
13/04/2023 16:26,10,MUY SENCILLO
13/04/2023 16:24,10,Fue muy ágil el proceso para realizar el check in
13/04/2023 16:18,10,FACILIDAD DE HACER CHECK IN
13/04/2023 16:16,9,por la rapidez
13/04/2023 16:12,9,Por que permite hacer el chek in con anticipacón y evitamos filas
13/04/2023 16:08,9,Rapidez ...
13/04/2023 16:07,10,fue facil y rapido
13/04/2023 16:07,10,se busca eficiencia
13/04/2023 15:56,10,.
13/04/2023 15:55,10,muy amigable el proceso y facil de comprender
13/04/2023 15:54,10,gracias
13/04/2023 15:53,9,Facil y rapido
13/04/2023 15:47,10,por el servicio
13/04/2023 15:34,9,Friendly
13/04/2023 15:34,9,rapido
13/04/2023 15:26,10,POR LO FACIL QUE ES USAR SU SISTEMA
13/04/2023 15:23,10,BIEN
13/04/2023 15:22,9,Muy buen servicio
13/04/2023 15:10,10,todo ok
13/04/2023 14:55,10,muy agil y amigable
13/04/2023 14:39,10,Es muy rápido
13/04/2023 14:33,10,ECONOMIA
13/04/2023 14:21,10,MUY BUEN SERVICIO
13/04/2023 13:53,10,muy rápido
13/04/2023 13:40,10,Es rapido
13/04/2023 12:46,10,MUY FACIL
13/04/2023 12:29,10,"ES FACIL Y MUY RÁPIDO, EVITAS CONTRATIEMPOS"
13/04/2023 11:59,10,todo ha sido muy simple de hacer
13/04/2023 05:57,10,FACIL
13/04/2023 05:42,10,OK
13/04/2023 05:29,10,muy fácil de navegar
13/04/2023 04:40,10,AVIONES EN CONDICIONES ACEPTABLES
13/04/2023 04:37,9,BUENO
13/04/2023 04:33,10,AMIGABLE
13/04/2023 04:30,9,es muy buena aerolinea
13/04/2023 04:19,9,ECONOMIA
13/04/2023 04:06,10,POR LO FACIL
13/04/2023 03:48,9,ES FACIL
13/04/2023 03:18,10,fue muy facil
13/04/2023 03:13,10,eficaz
13/04/2023 02:58,10,excelente servicio
13/04/2023 02:41,10,RAPIDO
13/04/2023 02:31,10,Excelente servicio
13/04/2023 02:26,9,Es bueno y comodo
13/04/2023 02:21,10,Facil acceso y navegacion. Letra grande
13/04/2023 02:14,10,ME GUSTA
13/04/2023 02:03,10,"facil de utilizar , agil"
13/04/2023 02:02,9,si
13/04/2023 01:43,9,Buen Servicio
13/04/2023 01:37,10,es muy facil
13/04/2023 01:30,10,Facil de utilizar y no se pierde tiempo.
13/04/2023 01:27,10,:)
13/04/2023 01:19,10,facilidad y rapidez
13/04/2023 00:48,10,good
13/04/2023 00:38,10,Excelente servicio.
13/04/2023 00:29,10,es una aerolinea confiable
13/04/2023 00:26,10,por buen servicio
13/04/2023 00:24,10,Eficiencia
13/04/2023 00:03,10,muy buen servicio
13/04/2023 00:00,10,TODO BIEN
13/04/2023 00:00,10,INTUITIVO
12/04/2023 23:51,10,OK
12/04/2023 23:50,10,excelente servico
12/04/2023 23:43,10,alguien mas compro los boletos
12/04/2023 23:40,10,LA ATENCION RAPIDA
12/04/2023 23:28,10,Son una muy buena aerolínea. Puntual y de precios justos
12/04/2023 23:13,10,Rápido y sencillo de completar
12/04/2023 23:12,10,Por la agilidad al navegar
12/04/2023 23:11,10,Rapidez
12/04/2023 23:11,10,Es fácil
12/04/2023 23:00,10,"Bastante sencillo, pocos pasos y muy claro."
12/04/2023 22:33,10,Por todo
12/04/2023 22:31,10,Realmente sencillo hacer el check in
12/04/2023 22:30,10,Facil acceso via internet sin filas
12/04/2023 22:20,10,POR SU CONSTANTE MEJORIA Y SERVICIO
12/04/2023 22:10,9,Es rapido y lo puedes hacer muchos dias antes
12/04/2023 22:07,10,EXCELENTE PAGINA
12/04/2023 21:47,10,ORGANIZADOS
12/04/2023 21:43,10,"es entendible, facil acceso, no confuso"
12/04/2023 21:41,10,práctico
12/04/2023 21:41,10,Por eficientes.
12/04/2023 21:33,10,excelente
12/04/2023 21:24,9,es muy rapido
12/04/2023 21:22,10,MUY PRACTICA
12/04/2023 21:18,10,porque lo hago a mi ritmo
12/04/2023 21:10,10,.
12/04/2023 21:01,10,super agil y sencilla de usar
12/04/2023 20:51,10,practico
12/04/2023 20:38,9,POR EL TIEMPO
12/04/2023 20:27,10,RAPIDEZ
12/04/2023 20:26,10,es la primera vez que viajo y está muy claro todo.
