Date,nps,ComoMejorar
27/02/2023 18:56,0,"Pague con HSBC viva plus y al hacer cambio de itinerario me cobraron los asientos de cortesía, ¿Cómo puede ser posible sí son beneficios de la tarjeta?"
27/02/2023 18:45,8,"NO SIENTO TAN GACHOS Y DEJANDO A LOS NIÑOS MENORES CON SUS PAPAS, COBRAN POR TODO"
27/02/2023 18:43,4,La pagina marco error cada vez que quise quitar el asiento para continuar y confirmar mi cambio por lo que me forzó a pagar el asiento y en call center me querían cobrar mas de mil pesos por el cambio
27/02/2023 17:55,0,manetener los precios que aparecen en la pagina
27/02/2023 17:33,8,Tuve que intentar cuatro veces antes de poder realizar el pago.
27/02/2023 17:09,5,"no me parece que aunque este haciendo cambio de vuelo me obliguen a pagar un asiento con valor adicional, o sea cobrar el cambio que en teoria era gratuito disfrazado del cobro del asiento. fuera de ese ""error"" lo demas esta muy bien"
27/02/2023 15:57,8,no permite forma de pago y tarda mucho en responder
27/02/2023 15:42,0,NADA
27/02/2023 15:16,0,porqueria deservicio
27/02/2023 04:29,8,problemas con la tarjeta
27/02/2023 02:40,5,Terrible. Samuel Manzanares me atendio por telefono y mintio. NO SE VALE
27/02/2023 00:01,6,No cambiando o precios entre las busquedas.
26/02/2023 22:54,7,se traba mucho
26/02/2023 17:10,2,"manteniendo los precios de cambio de vuelo , no levandolos"
26/02/2023 14:36,0,"No se puede hacer cambio de nombre y fecha en la misma operación, nada amigable en ese sentido"
26/02/2023 06:38,8,Poder cerrar la sesion de reserva sin tener que accesar con cuenta.
26/02/2023 05:52,5,"la pagina siempre me agrega cosas sin mi consentimiento, en el call center me dan vueltas para quirtar los cargos adicionales, me dificultaron el check in en linea varias veces"
26/02/2023 04:01,6,"La pagina falla mucho, es muy dificil hacer cambios en los vuelos"
26/02/2023 02:38,8,si
26/02/2023 02:36,8,Bien hecho
26/02/2023 01:44,5,"La información no es clara, realicé un cambio de vuelo y parece que volví a pago por escoger asiento en el vuelo origina tenía Espacio+ y volvía a pagar otra vez por el mismo asiento en el nuevo vuelo."
26/02/2023 00:42,6,"Compre el seguro de reembolso y cuando hable para que me reembosaran me solicitaba un diagnostico medico que en el momento no lo tenia , tarde mucho es un robo"
25/02/2023 23:00,3,SS
25/02/2023 21:56,5,pongan el precio completo
25/02/2023 21:41,6,"No entiendo si no hay diferencia de tarifa aparente al final que es lo que se cobra, no aparece realmente el concepto"
25/02/2023 18:37,6,Be more specific.
25/02/2023 17:30,5,"al momeot de efectuar mi cambio me cotizo una diferencia de tarifa de 398.00mxn y al final pague 700.00mxn , porque cambio mucho la diferencia a pagar?"
25/02/2023 17:14,8,ES COMPLICADA
25/02/2023 14:50,2,DEJAR DE ROBARNOS TANTO CON DIS QUE PROMOCIONES DONDE UNO TERMINA PAGANDO MAS DE LO QUE NO ES
25/02/2023 13:11,0,Include the TUA in the final cost cheapskates.
25/02/2023 11:09,0,me forzó a pagar por el asiento
25/02/2023 09:43,7,Bloqueando el sistema si no tienes seleccionado tu asiento
25/02/2023 04:33,8,trabajar mas
25/02/2023 03:20,8,cobra equipaje de mas
25/02/2023 01:42,0,No funciona bien l apagina
25/02/2023 01:11,8,"el proceso de pago cuando se hace el cambio es algo confuso, tuve varios ""errores"" con el sistema y al final que se hizo el cambio no me ha reflejado el cobro, confío en que se completó la compra de forma correcta."
25/02/2023 01:03,2,cambiando algunas politicas con su personal porque muchas veces son personas que no tienen sentido comun como cuando compro equipaje extra en el carrie on y no quieren dejar subir mi maleta o cuando c les pide q si c puede documentar afuera en mostradores dicen que no y en sala a fuerza la quieren mandar abajo presten atencion a eso por favor y entrenen mejor a su personal xq hacen ver mal a la aerolinea
25/02/2023 00:13,0,"No lo recomiendo porque aunque uno haga pagos previos al check in, no los consideran. Tuve que pagar dos veces los asientos, y en el momento de hacer el check in cuesta casi el doble el asiento. Además, la plataforma es confusa y está diseñada para que uno incluya servicios que tienen costo adicional y que no son necesarios."
24/02/2023 23:05,8,Se puede mejorar al no sacarte de la aplicación cuando intentas pagar.
24/02/2023 20:03,6,"TUVE QUE DUPLICAR PAGO, POR QUE NO ME DIERON INMEDIATAMENTE EL PAGO TUA GCS"
24/02/2023 18:43,4,"Son muchos precios ocultos, parecen muy buenas las opciones, precios muy accesibles,  pero al final de cuentas uno viene pagando más que otras aerolíneas."
24/02/2023 18:24,0,NO ME PASA MI TARJETA PARA PAGAR Y ME DESAPARECIO MI RESERVA
24/02/2023 15:24,4,"hace dias compre otro vuelo a un amigo y me rechazo el pago dias lo intente mas de 10 veces y rechzaba el pago hasta no se que intento me dejo ghacerlo, y en todos los intentos hacer todo el procedimiento de escoger vuelos correo nombre fecha"
24/02/2023 14:43,0,no
24/02/2023 10:53,3,x
24/02/2023 05:50,5,Muy caro algunas cosas :(
24/02/2023 05:38,8,xxx
24/02/2023 05:10,0,Siendo especificos en sus politicas y cambiando sus asesores telefonicos
24/02/2023 02:07,4,Teniendo mas opciones al momento de agregar equipaje o kilos extras al equipaje
24/02/2023 02:00,8,No que los cambios eran gratis
24/02/2023 01:55,6,sistema lento
24/02/2023 00:54,0,"mejorando su atencion y servicio al cliente, realmente no me gusta su aerolinea"
23/02/2023 23:02,0,"tiene error en selección de asiento, para no seleccionar."
23/02/2023 22:29,0,El cobro por hacer el cambio de nombre es demasiado alto
23/02/2023 22:21,8,no sobrepasarce de recargos
23/02/2023 21:44,3,"No me gusta que NUEVAMENTE COBRAN EL ASIENTO, siendo que ya lo había pagado antes."
23/02/2023 20:34,8,Hubo un error en la pagina y tuve q llamar para que lo modificaron. Via telefonica lo corrigieron.
23/02/2023 19:51,7,Evitando que nos pongan para tratar de comprar cosas que no queremos o no necesitamos
23/02/2023 19:48,8,Mejorar la interfaz y seguridad de datos personales
23/02/2023 17:48,5,"Muchas trabas para hacer el pago, rechazando mi forma de pago, llamé al banco pensando que era un problema de mi tarjeta y mi tarjeta no tenían ningún bloqueo, fue tema de su página."
23/02/2023 15:13,0,"ES UNA ESTAFA SUS CAMBIOS DE VUELO NO SON GRATIS, NO RESPETAN LO QUE PAGUE EN MI PRIMER VUELO"
23/02/2023 13:24,8,"NO HACIENDO TANTOS CAMBIOS EN LOS VUELOS, YA QUE EN MI CASO LAS ULTIMAS DOS VECES QUE HE VIAJADO CON USTEDES ME HAN CAMBIADO EL VUELO Y OBVIAMENTE ME ADETAN EN LA PARTE LABORAL"
23/02/2023 03:20,4,No sirve su linea telefonica
23/02/2023 03:16,5,No acepta todas las tarjetas de debito hsbc
23/02/2023 01:19,1,TENIENDO TODO EN UN TOTAL
23/02/2023 00:41,6,la app muy lenta
23/02/2023 00:24,5,especificar que los cambios de vuelo generan un costo por los asientos y la promocion de la tarjeta viva no aplica.
22/02/2023 23:34,7,DEMASIADOS OFRECIMIENTOS EN EL CAMINO DE RESERVAR
22/02/2023 22:23,0,COMO ES POSIBLE COBRAR ASIENTOS
22/02/2023 22:21,0,A FUERZAS TE HACE COMPRAR ASIENTO
22/02/2023 22:20,5,"MUY DIFICIL Y NO DAN INSTRUCCIONES CORRECTAS, NO ME DEJA COMPLETAR EL PAGO"
22/02/2023 21:22,8,Tener menos casillas de ofertas.
22/02/2023 21:04,7,Porque dividen el pago?? muy mal de su parte
22/02/2023 20:36,8,SE TRABA MUCHO LA PAGINA
22/02/2023 20:07,8,UN POQUITO MAS AMIGABLE LA PAGINA PARA HACER CAMBIOS PORQUE SOLO SE PUEDE HACER EN LA PC Y NO POR EL AL DEL CELULAR
22/02/2023 19:42,1,Si Ofrecen CAMBIOS SIN COSTO (misma tarifa) porque cobran adicionales si contraté y pague por el servicio de hasta 3 cambios SIN COSTO
22/02/2023 18:40,5,Muy altos los precios para cambiar un vuelo con 2 meses de anticipación
22/02/2023 18:37,0,NUNCA
22/02/2023 18:21,7,mayor flexibilidad en los itinerarios.
22/02/2023 17:34,8,SER MAS SIMPLE PARA ENCONTRAR LO QUE SE NECESITA
22/02/2023 15:52,8,"Me hicieron pagar equipaje documentado que no necesitaba, no pude retirarlo cuando cambié mi reserva."
22/02/2023 14:53,1,"Demasiados cargos engañosos sobre el TUA y la selección de asientos. DE cualquier forma no creo que les interese mejorar, esto es con fines de cobrar más. Deberían conocer los conceptos de valor y lealtad"
22/02/2023 14:32,7,el precio es alto por hacer cambio
22/02/2023 05:16,7,mas apoyo via telefonica
22/02/2023 05:09,5,FACILITAR CAMBIOSEN CONTRATIEMPOS POR EL CLIENTE
22/02/2023 04:55,5,COMPRÉ UNA TARIFA PERO ME EQUIVOQUÉ DE DÍA Y TUVE QUE PAGAR EXTRA POR EQUIPAJE AL CAMBIAR HACIA EL DÍA CORRECTO.
22/02/2023 04:14,0,ES UN ROBO SU SERVICIO
22/02/2023 01:27,4,","
21/02/2023 23:26,6,"El pago en ocasiones no lo acepta, se tiene que cambiar datos de la reserva (Teléfono y correo) Y a veces se tienen que hacer más de 3 intentos y se bloquean las tarjetas, si pudieran arreglar esto sería perfecto el servicio. Saludos"
21/02/2023 22:33,8,Posibilidades de cancelar el viaje
21/02/2023 22:28,8,gracias
21/02/2023 18:39,6,no hacer que forzosamente uno deba pagar un asiento que no quiere.
21/02/2023 18:14,2,sus cargos y mentiras de 1 cambio gratis.
21/02/2023 18:13,8,no cambiando el horario de los vuelos
21/02/2023 17:38,1,El precio para una arreglo sencillo del nombre de pasajero con tiempo de anticipación
21/02/2023 17:11,2,"no hubo forma de NO pagar los asientos... después de un costoso cambio, no hay manera de NO comprar ADEMAS asientos. Ni en la App ni en la web ni por teléfono. Siento que es  abusivo enjaretar A FUERZAS asientos cuando a uno le da igual donde lo sienten"
21/02/2023 16:58,3,"Deben avisarnos que si ya se hizo check-in, este se debe cancelar antes de proceder a hacer algún cambio, y nos deben permitir eliminar el check-in nosotros mismos, de lo contrario es absurdo este proceso de administrar la reservación."
21/02/2023 16:33,8,precios muy caros
21/02/2023 16:24,0,"No me dejó eliminar productos de mi carrito de compra y era imposible hacer check-in, al final los tuve que pagar, qué abuso."
21/02/2023 15:32,7,"EN LA RESERVA CUANDO SE REFRESCA LA PAGINA SE PIERDE Y NO ES POSIBLE VOLVER A LA RESERVA QUE LLEVABAS, ENTONCES HAY QUE EMPEZAR UNA NUEVA Y ES TEDIOSO."
21/02/2023 08:52,6,"cuando intenté usarlo en la aplicación del celular no pude, intente hacerlo en el navegador de mi celular y tampoco pude, hoy en día no cuento con computadora en mi domicilio puesto que no la necesito, tuve que ir a un lugar para pagar el uso de una pc y poder realizar el cambio pudiendo haberlo hecho desde mi celular"
21/02/2023 04:50,8,SIGUIENDO COMO HASTA HORA CON ESA EFECTIVIDAD Y RAPIDES
21/02/2023 04:46,7,1
21/02/2023 04:00,7,Mejor atencion al cliente
21/02/2023 03:14,8,Demasiado el cobro por cambio de vuelo
21/02/2023 03:01,8,menos pasos
21/02/2023 02:45,8,no esta claro cuando queda hecho o no el chek in
21/02/2023 01:31,0,Me cobraron asiento porque su pagina no ome dehjaba continuar sin seleccionar uno
21/02/2023 01:31,8,Fue confuso el cambio y los cargos no son claros
21/02/2023 01:15,8,poder hacer el cambio de ruta desde la web.
21/02/2023 00:20,1,La forma de Pagos son muy confusas
20/02/2023 23:00,5,MEJORAR LOS COSTOS DE CAMBIO
20/02/2023 21:53,7,no deben cobrar para poder hacer el check inn
20/02/2023 21:50,2,"Your seating arrangement prior to seat selection assigned by 2.5 year old daughter 4 row away from me(the parent) I had to now pay for both of us $14 pesos each to rearrange for us to sit together. Since I bought the two passengers together in one transaction, your system should have placed our seating together."
20/02/2023 21:32,5,RESPONDER RAPIDAMENTE Y RESOLVER LOS PROBLEMAS COMO EL MALTRATO DE MALETAS Y NO INCREMENTAR PRECIOS CUANDO DAN CREDITOS ELECTRÓNICOS QUE NO APLICAN EN LA PÁGINA WEB Y SOLO EN EL CALL CENTER.
20/02/2023 21:30,6,DEJANDO CAMBIAR EL DESTINO Y NOMBRE
20/02/2023 20:25,0,Las politicas que colocan al momento de comprar el vuelo original indican que el cambio de vuelo es sin costo y la hora de ralizar el cambio no solo te cobran el cambio por la tarifa sino que oblignan a comprar un asiento.
20/02/2023 19:48,7,"Se requiere un sistema mas amigable y entendible, es muy confuso, y tambien notificar que al hacernos cambio de vuelo avisar que nos dejaron sin asientos, si no me meto a ver la reservacion no de daria cuenta de eso. Y peor aun el cambio de  precio que me obligo a pagar un extra de un servicio ya pactado."
20/02/2023 19:47,8,LOS PRECIOS Y SERVICIOS DE VENTA DE ALIMENTOS DENTRO DEL AVION  NO TODOS TENEMOS TARJETAS
20/02/2023 19:02,4,Dar opciones de cambio de vuelo y de destino en linea y no solo por telefono
20/02/2023 18:53,5,Más pagos todavia que la canción
20/02/2023 18:01,6,2
20/02/2023 17:55,0,todo
20/02/2023 17:51,6,NO ME DIÓ LA OPCION DE PAGAR LOS ASIENTOS DESDE QUE HICE LA COMPRA DEL PAQUETE CON HOTEL Y LAS MALETAS ESTABAN SELECCIONADAS Y AHORA ME SALIERON MAS CARAS
20/02/2023 17:08,0,"muy complicada, mucha propaganda, la HIM muy mala, errores en la pagina constantes."
20/02/2023 16:24,0,No cobrando seguros que luego no sirven de nada
20/02/2023 15:21,8,ASISTENTE VIRTUAL
20/02/2023 09:14,0,"TUVE UN ACCIDENTE Y LLEGUE TARDE A MI VUELO, ME NEGARON TODO TIPO DE AYUDA A PESAR DE HABER COMPRADO 2 VUELOS DE REGRESO PORQUE EL PRIMERO NO PERMITIA CAMBIOS. PESIMO SERVICIO AL CLIENTE."
20/02/2023 06:49,8,Respetando la seleccion de maletas previamente.
20/02/2023 06:09,5,OFRECEN HACER CAMBIOS Y LOS QUEREMOS HACER Y COMOQUIERA SALEN CON MUCHOS CARGOS EXTRA
20/02/2023 04:41,7,rapidez para que se vean reflejados los movimientos y cambios en las reservaciones
19/02/2023 18:51,8,PODER HAVER EL CAMBIO DE VUELO DIRECTO EN LA APP SMALL DEVICE
19/02/2023 15:46,5,Changed from English to Spanish when paying.
19/02/2023 06:03,0,"COMO ES POSIBLE QUE POR CAMBIAR DE NOMBRE ME VAN A COBRAR 1000 PESOS, HORRIBLE, JAMAS VOLVERE A RECOMENDAR ESTA AEROLINEA"
19/02/2023 03:56,6,atencion a cliente
19/02/2023 03:55,0,"Es altísima la tarifa por cambio de cualquiera de los datos de pasajero, un robo"
19/02/2023 02:07,0,"Ya habia pagado por una mascota que ya no voy a llevar y no dan la opción de recuperar ese dinero, ni siquiera como voucher. Me parece muy mal."
19/02/2023 00:33,8,HACERLO MAS AGIL
18/02/2023 23:40,0,Estaba por pagar mi reserva y de la nada se actualizo el precio a mas del doble !!!!
18/02/2023 22:42,0,"TRANSPARENCIA EN LO QUE COBRAN, SI COMPRO UN BOLETO DE UN TRANSPORTE AEREO LO MENOS QUE ESPERO ES QUE INCLUYA ASIENTO, PUES NO ME VAN A LLEVAR PARADO EN EL AVIÓN.  CUMPLAN LO QUE DICEN."
18/02/2023 05:47,1,no poniendo las cosas de forma que revuelvan a los usuarios
18/02/2023 04:37,2,"Your pricing of baggage is excessive and predatory, with increasing penalty for simple baggage that other airlines allow with no extra charge"
18/02/2023 03:26,4,tuve problemas para poder pagar el tua y cuando hable a servicio al cliente no pudieron apoyarme ni solucionar el problema
18/02/2023 00:03,1,Batalle demasiado para hacer mis reservaciones
17/02/2023 22:57,8,It would help to have this page in English. Thank you
17/02/2023 21:17,8,"NO OBLIGAR A LA SELECCIÓN DE ASIENTOS, YA QUE SI SE DESEA NO SELECCIONAR ASIENTO NO PUEDES TERMINAR EL PROCESO DE CAMBIO"
17/02/2023 20:07,7,"Cuando haces el cambio de vuelo te hace elegir forzosamente el asiento, si n. la página da error"
17/02/2023 19:59,8,lkl
17/02/2023 17:45,8,Rápido y claro
17/02/2023 17:19,0,"la app no me dejo dejar los asientos sin seleccionar, se me cargo maleta a pesar de que tampoco lo elegi"
17/02/2023 16:08,0,"LA ELECCION DE ASIENTO MUY MALA, TUVE QUE PAGAR CUANDO MI ELECCION FUE LA MAXIMA CATEGORIA CON OPCION DE SELECCION DE ASIENTOS."
17/02/2023 05:28,6,practicidad de la palicacion
17/02/2023 04:18,0,coma cola
17/02/2023 01:01,8,No aumentando los precios
17/02/2023 00:13,0,"Agregan servicios que no deseo como el abordaje prioritario que no pedí y no logro descubrir como quitarlo.Además vuelven a cobrar casi el vuelo completo al momento de cambiarlo, aún cuando en el primer vuelo pagué por cambios futuros.Prefiero Volaris que si considera esto que menciono."
16/02/2023 23:42,0,"Para lograr modificaciones en mi reserva, su sitio web me forzó a agregar un cargo extra por selección de asiento. De no elegirlo, no me permitiría hacer el cambio.El mensaje de error decía:""¡Oh, no!Lo sentimos, algo salió mal. Por favor, intenta nuevamente o realiza tu check-in directamente en el aeropuerto.01865bd7-5cf7-4100-8275-2fa90579f015""Necesitaré hacer otro cambio en días posteriores y temo encontrarme con el mismo error."
16/02/2023 23:17,1,"no cobren otros asientos, cuando ya pague unos de mi vuelo original"
16/02/2023 23:03,7,REDUCIR COSTOS E IMPUESTOS
16/02/2023 21:54,6,"no separar los impuestos del costo del vuelo, es súper confuso y problemático"
16/02/2023 21:54,6,me cobraron un asiento feo en $300 mxn. pésimo
16/02/2023 21:53,8,"Puede ser algo complicado o confuso algunas secciones, quizá solo es falta de costumbre, pero es un hecho que puede ser difícil para algunos"
16/02/2023 20:07,1,there' was no difference in flights when changing it but at the end I had to pey 43 usd.
16/02/2023 19:29,8,todo bien
16/02/2023 18:50,7,Cambian abrutamente los asientos
16/02/2023 17:38,0,Me hicieron el cargo la primera vez y no se modificó la reserva y por teléfono me dijeron que lo viera con mi banco.
16/02/2023 17:14,8,Quitar distractores
16/02/2023 14:48,0,"no se puede hacer pago ni cambios sin tener que estar hablando a numero de servicio al cliente, que difícil se vuelve un cambio tan sencillo o realizar un pago de un cambio, debería ser al momento no tener que hablar y hablar y esperar y esperar"
16/02/2023 14:46,7,PORQUE PAGUE UN SEGURO Y RESULTA QUE NO APLICA PARA CAMBIAR UN NOMNBRE Y VULEVEN A COBRAR
16/02/2023 13:40,0,no pude cambiar mi vuelo sin tener que pagar el asiento!!!!!!!!!!!!!!!!!!!!!!!!!!
16/02/2023 04:53,6,demasiados cargos extras el precio que muestran al inicir la sesion son una mentira
16/02/2023 03:34,4,mas sencillo
16/02/2023 03:25,0,dejar de obligar a la selección de asientos. porque es un cobro forzoso el que hacen
16/02/2023 01:56,8,Tal vez reduciendo muchas opciones.
16/02/2023 01:45,0,no cobraando extra
16/02/2023 01:33,5,"MAYOR TRANSPARENCIA EN EL COSTO DE UN CAMBIO DE VUELO. ME APARECIO 100 Y AL FINAL AUMENTÓ EL IMPORTE SIN SELECCIONAR NADA EXTRA. TAMBIÉN QUE SE PUEDAN USAR LOS PUNTOS DOTTERS, DE NADA SIRVEN SI NO SE PUEDEN UTILIZAR EN UNA SIMPLE OPERACION DE CAMBIO DE VUELO."
16/02/2023 01:08,1,Precios muy altos para lo que es
16/02/2023 01:07,8,mas claridad en las opciones
16/02/2023 00:11,0,Teniendo precios justos y razonables para un simple cambio de apellido.
15/02/2023 23:49,0,Hagan desde un principio pagar el  TUA para saber el verdadero costo total.
15/02/2023 23:29,2,El sistema no sirve para nada. Es muy lento y no es claro. Muy confuso
15/02/2023 23:07,8,es demaciado confuso
15/02/2023 22:33,8,"El cambio de vuelo es como si comprara literalmente otro vuelo, la diferencia de precio es de menos de 500 entre un vuelo normal y un cambio"
15/02/2023 21:50,8,HACERLO UN POCO MAS AMIGABLE YA QUE ME PERDI AL MOMENTO DE ASIGNAR ASIENTOS DEL VUELO DE REGRESO.  GRACIAS
15/02/2023 20:55,8,mas rapidez
15/02/2023 20:06,8,lo hacen bien
15/02/2023 18:55,0,"quitando los bloqueos para que no se cobre lo que no se debe, es injusto y tramposo"
15/02/2023 18:35,5,sus paginas
15/02/2023 17:50,4,"Mi vuelo original lo compre con tarjeta HSBC Viva Plus lo cual me asigno asientos y maleta documentada gratuita, al tratar de remover los asientos me marcaba error tuve que pagar asientos y maleta documentada cuando yo no necesitava documentar, hable po rtelefono y querian cobrarme 7 mil pesos por el cambio"
15/02/2023 17:37,8,"no me quedo claro lo de los asientos, y porque el costo"
15/02/2023 16:40,2,PODER EN EL SISTEMA SABRE ASIGNAR LOS ASIENTOS
15/02/2023 16:36,8,MENOS CARGOS POR CAMBIOS
15/02/2023 16:00,0,hacen el pago del tua por separado cuando deben agregarlo al momento que paga uno
15/02/2023 15:50,0,"Es una calamidad que cobren casi hasta por respirar dentro del avion.Sabiendo que son la unica opcion, se crean ""necesidades"" para cobrar."
15/02/2023 15:02,5,"tuve que entrar 3 veces el codigo de seguridad de la tarjeta para que funcciona. Las 2 primeras veces salia un error indiicando que no lo habia puesto aunque si.Tambien, me rechazo 2 veces de la misma manera mi tarjeta amex"
15/02/2023 04:47,4,la pagina se traba mucho
15/02/2023 03:26,0,Precios cambian sin razon
15/02/2023 02:08,2,"ESTE SISTEMA TIENE ERRORES PARA OBLIGARTE A ESCOGER ASIENTO Y QUE PAGUES MAS, ES IMPOSIBLE NO ESCOGER ASIENTE, ESTO ES FRAUDE Y ABUSO. VIVA AEROBUS ES DE LO PEOR."
15/02/2023 02:07,4,Ya habái seleccionado mis asintos y después salio que no y tuve que volver a comprar para seleccionarlos
15/02/2023 01:58,8,NO COBRANDO ASIENTOS
15/02/2023 01:35,1,primero dan un precio y despues otro al principio me estaban cobrando aprox 1200 por persona y ahora son casi 2500
14/02/2023 22:07,0,Luggage is always an issue in Mexico City. More luggage should be allowed per person
14/02/2023 21:57,0,"Me cobraron más caro cambiar el nombre del pasajero solo por corregir un apellido, que lo que me costó el vuelo, osea 1050 pesos solo por escribir un apellido, pésimo servicio al cliente, haré un reporte a la profeco por esta clase de abusos."
14/02/2023 21:39,7,no cobrar tanto em los cambio gracias
14/02/2023 21:33,6,Me obligaron a elegir un asiento con cargo extra
14/02/2023 20:26,8,"muy bien para cambio de fecha, el comentario es que al intentar cambio de destino, hacen un cobro por uso de call center (casi 1000 pesos por pasajero, obligado porque no puede hacerse desde la página), ahí me parece que la promoción de cambios gratis no se cumple"
14/02/2023 20:19,5,No cobrando asientos
14/02/2023 17:33,5,No está aceptando TC
14/02/2023 16:31,8,NO ME DEJAN CONTINUAR CON EL CAMBIO SIN AGREGAR ALGÚN SERVICIO
14/02/2023 15:00,8,Me gustaría poder agregar desde aqui la asistencia y no es posible agregar o editar
14/02/2023 04:07,0,CAMBIAR UNA LETRA EN EL NOMBRE DE UN PASAJERO ME COSTO 1050 PESOS
14/02/2023 04:00,8,Lenta y engañosa la pagina
14/02/2023 03:52,7,PRECIOS MAS accesibles
14/02/2023 03:26,6,"Tiene varios errores al querer actualizar el precio, tengo que cerrar y volver a entrar para solucionarlo"
14/02/2023 03:13,5,Pues no siempre son eficientes en su trabajo
14/02/2023 02:58,0,Te obligan a comprar asiento para seguir el proceso de cambio en linea.
14/02/2023 02:37,8,....
14/02/2023 02:10,1,"LA PAGINA M,ARCA ERROR Y ME OBLIGA A PAGAR EL ASIENTO"
14/02/2023 01:45,2,Completa la reserva. En cada paso del camino recibo mensajes de que hay problemas y no puedes completar mi solicitud. ¿Cuál es el problema?
14/02/2023 01:11,5,que se agregue el TUA desde el inicio del pago de la reservacion
14/02/2023 00:50,7,The first person I contacted was not helpful and was rude. The 2nd person I contact was a lot friendlier and was able to help resolve my concerns.
14/02/2023 00:39,0,"Me volvieron a cobrar por asientos que ya habia reservado, pagado, hecho el check in y todavia quieren que se les recomiende. No vale madre su servicio. Ni siquiera avisaron. SON UNA BASURA"
13/02/2023 23:41,5,"No me gusta que para todo quieren cobrar hasta para comprar el asiento se supone que una esta pagando el boleto, el asiento tiene que estar incluido ahi."
13/02/2023 20:45,0,no me dejaron cambiar mi vuelo sin comprar asiento
13/02/2023 19:07,0,"NO COMPRANDO 2 VECES EL ASIENTO, HABLE CON SU PERSONAL Y ME DIJIERON QUE ERA OBLIGATORIO PAGAR DE NUEVO EL ASIENTO."
13/02/2023 18:27,1,NO OBLIGANDO A LOS PASAJEROS A PAGAR POR LOS ASIENTOS
13/02/2023 17:29,6,no se visualizan en la reserva las maletas compradas.
13/02/2023 16:51,0,Es un processo pesimo. Tiene que arglar como tratan los clientes.
13/02/2023 14:13,0,Pesimo servicio de atención al cliente
13/02/2023 13:54,0,PESIMO SERVICIO Y NO RESPETAN SUS TERMINOS Y CONDICIONES
13/02/2023 03:48,8,atencion al cliente por telefono mas responsable.
13/02/2023 03:10,0,NO SIRVE SU SISTEMA
12/02/2023 19:44,5,PORQUE  COBRAN ALGO QUE DEBE PAGAR LA AEREOLINEA?
12/02/2023 17:31,8,Agilizando los trámites
12/02/2023 17:24,7,"ya que ya se pagó el vuelo, estaría bien que las tarifas de cambio de itinerario fueran más accesibles económicamente"
12/02/2023 07:00,0,No pude continuar con mi compra sin elegir asiento
12/02/2023 04:52,8,QUE LA PAGINA NOS PERMITA INTERACTUAR MAS DE MODO QUE PODAMOS CAMBIAR DESTINOS Y PASAJEROS
12/02/2023 02:30,8,"Los precios, las tarifas parecen más elevadas al realizar los cambios que  comprando uno nuevo"
12/02/2023 01:18,0,se me hace una estupides que por cambiar el nombre de un boleto cobren qur jalada
11/02/2023 23:13,7,"EL cambio de itinerario sale carísimo, de nada sirve pagar la flexibilidad porque los precios están super inflados"
