Button name,Rating,Text
Desktop New Site,4,Porque en el precio final me cobran adicionalmente por reembolso total 274 pesos ??
Desktop New Site,2,"En ningún momento durante mi compra hje seleccionado esta opción de reembolso total, incluso en ninguna parte de la pagina me han mencionado que significa esto de reembolso total. NO quiero pagarlo porque no se que es y yo no lo seleccioné"
Desktop New Site,1,tengo un error en mi apellido como lo corrijo
Desktop New Site,1,"de la nada me aparece el adicional de reemboso total aunque yo no lo elija, como puedo eliminarlo ?"
Doters,4,"Buen día, tengo la tarjeta HSBC VIVA desde hace pocos meses (DIc 2022) decía que me daban 20000 doters y en mi balance solo tengo 3900, no los he usado."
Desktop New Site,5,felicitacion
Doters,2,"Lleco 11,000 puntos y los 20,000 extra de regalo  que dicen al contratar siguen  sin aparecer."
Doters,2,"No he podido usar los puntos en vivaaerobus para nada, no respetan eso en vivaaerobus, y no esta claro como usarlos,expliquenle al personal de la aerolinea , de ida y vuelta pague x la maleta"
Doters,2,No se visualiza correctamente en los teléfonos mobiles
Doters,1,"Hace un par de semanas hice una compra de un vuelo y jamás me dieron mis puntos!  Tengo hasta viva fan, no vuelvo a comprar vuelos aquí "
Doters,2,Mas amigable y menos repetitivo 
Feedback_Nuevo Sitio_VF,2,no funciona su opcion de vivafan
Doters,2,Al abordar el autobús me pidieron dinero por mi equipaje al no darlo súper grosero el chofer y el ayudante empujándome con quien se reporta esto 
Desktop New Site,1,"No me permite quitar el rembolso total, ratas!!!"
Desktop New Site,1,No pudo eliminar este cobro que no deseo.
Desktop New Site,1,No me manden mas anuncios. Cuando yo necesite sus servicios. Yo los contacto
Doters,5,su servicio es muy bueno y me gustaría poder encontrar boletos digitales
Desktop New Site,3,"Hola, tengo un còdigo promocional y por mas que lo ingreso no lo acepta o no se que pasa,.. ya me cansé de buscar como.. me pueden ayudar. ?"
Desktop New Site,2,para proceder con el pago no carga la pagina y no puedo adquirir el servicio
Desktop New Site,2,Selecciona la ida pero no el regreso
Desktop New Site,1,"Al querer comprar el boleto y prepagar el TUA, en automático me hace el cargo de el servicio adicional REEMBOLSO TOTAL y no deseo adquirirlo, quisiera saber como poder eliminarlo para poder concluir mi compra."
Desktop New Site,2,WEB Ckin - NO disponible!! una pesadilla viajo ligero para evitar filas y la pagina no está disponible para el ckin!!
Desktop New Site,1,"Es imposible pagar. Es la única web en Mexico donde tengo inconvenientes con cualquier tarjeta que intente. Llevo más de, no se, 20 vuelos con ustedes? Ya des bloqueen mi cuenta y dejenme pagar...  Que tengo que recurrir a Paynet siempre y odio el efectivo."
Desktop New Site,1,"Ya pagando con la tarjeta viva HSBC me saca porq cambio de tarifaPESIMO,,,"
Desktop New Site,1,"No me permiten modificar mi número de telefono que ya no tengo y que ya cambie, quiero modificarlo."
Desktop New Site,3,No puedo ingresar una tarjeta para pagar
Desktop New Site,2,"He intentado renovar mi membresía Viva Fan y me ha sido imposible, ya me comuniqué a servicio al cliente y no tuve ayuda, quiero hacer una reserva de vuelos pero ya aplicando la membresía, pero es imposible."
Desktop New Site,1,El vuelo me agrega un reembolsó que yo no estoy solicitando
Desktop New Site,4,Todo bien
Doters,3,Q tal buena tarde.. A quien corresponda... Acabo d hacer una compra viaje redondo en Costa line y no me dio punto alguno..además q tuve diferentes temas al cargar las fechas ver los asientos y pagar... Agradeceré ajusten los puntos correspondientes ala compra por su atención gracias.
Desktop New Site,1,Porque me cobran a fuerza el Reembolso total si yo en ningún momento del proceso activé esa opción?
Desktop New Site,1,no puedo quitar este cargo adicional 
Desktop New Site,5,"Me acabo de registrar pero esta mal la fecha de nacimiento y estoy tratando de arreglarlo, gracias"
Desktop New Site,3,h ola q tal buenas tardes es para enformales que sus precions son altos requerimos se nos pueden bajar un poco los precios
Desktop New Site,3,deben de bajar los precios están muy elevados
Desktop New Site,2,No me permite pagar un boleto de avión. 
Desktop New Site,2,"siempre que quiero reservar un vuelo, no me permite pagar con TC, creo que es un error de la pagina ya que van varios intentos y con diferentes tarjetas y no se puede, de hecho hemos hablado a atencion a clientes y tampoco pueden realizar el cargo."
Desktop New Site,3,ESTAN MUY CAROS LOS BOLETOS 
Desktop New Site,1,"No puedo realizar el pago de mis vuelos, me aparece el error   0187711d-fa93-45ae-8ec0-27946f0564ba  Ya terminé de seleccionar todo, solo falta pagar "
Desktop New Site,1,"Me mandan un aviso de cambio de vuelo, me ofrecen 3 opciones, escojo certificado electrónico y no se genera nada. Luego al final del aviso me ponen la opción aceptar o rechazar ; selecciono rechazar, con la promesa de que se comunican y nada de nada."
Desktop New Site,1,"Supongo que el sistema no puede detectar que mi tarjeta es de debito y no de crédito. Si reconoce que mi tarjeta es Master Card, pero no me deja proceder con la compra del boleto. Ya revise mi tarjeta, los números están bien, el nombre también, el numero seguro, etc. Pero no me deja continuar. -.-"
Doters,1,No dice por ningún lado como compro vuelos como uso los puntos 
Doters,1,"La página es muy confusa, hace que me confunda con facilidad y cuando por fin señecciono una opción me saca del sitio, creo que lo hacen para no utilizar los beneficios"
Desktop New Site,4,"ME GUSTA ESTA AEROLINEA, HE VIAJADO EN VUELOS NACIONALES, Y HA ESTADO BIEN, AHORA EN VIAJE A ESTADO UNIDOS, ESPERO TAMBIEN SEA MUY BIEN. GRACIAS"
Desktop New Site,1,No hay forma  de comunicarse al servicio  a clientes 
Desktop New Site,2,NO SE MUESTRA EN LOS SERVICIOS ADICIONALES EL COMO AGREGAR A LA COMPRA EL VOLAR CON MI MASCOTA EN CABINA 
Desktop New Site,1,Se agrega un cargo de reembolso total por 833.46 sin que yo lo pida
Doters,3,"Mucha información por llenar, deben simplificar gracias "
Desktop New Site,1,Porque se me hizo el cobro y dicen que no aceptaron mi tarjeta. me urge que solucionen esto
Desktop New Site,2,Kindly process refund to original form of payment. PNR ZFPWGN
Desktop New Site,1,Me ponen en automatico Reembolso total
Desktop New Site,4,"Soy cliente nuevo de Viva pero hice dos compras (4 viajes redondos), pero en ningún momento me indicó como cargar o como acumular puntos Doters.  Aún ya concluidos los viajes, deberían permitir cargarlos al programa de Doters y si es así cómo le tendría que hacer."
Desktop New Site,3,no puedo eliminar un cargo de reembolso total por 229.98 que no solicite
Doters,1,"No se ven reflejados mis puntos dooters, ya escribí vía email y no obtengo respuesta, también marqué vía telefónica y tampoco. "
Doters,1,"Esta horrible, no me puedo registrar, me.d8ce que ya existe el usuario y no me deja cambiar contraseña  Pésimo "
Desktop New Site,1,Quisiera saber que es eso y como se quita
Desktop New Site,3,"Tengo dudas con respecto a la facturacion. Me gustaria saber si se puede pagar el equipaje extra (Light) por separado, esto para que no me pase de mi presupuesto en la factura. Mi correo es 0.wgrn.cc@gmail.com por si tienen respuesta a esta pregunta. Saludos, Luis."
Desktop New Site,2,"¿Por qué te obligan a pagar una cobertura de reembolso total si no deseas incluirla, o es un error de página? ojalá me puedan dar retroalimentación sobre esta parte o el procedimiento para adquirir boletos sin esa cobertura"
Desktop New Site,1,no me carga la   opcion para elegir fechas 
Doters,3,De todo me gusta participar 
Doters,1,"hay muchos puntos por actualizar, "
Doters,1,"No puedo acceder a mi cuenta, simplemente no sirve su botón de inicio de sesión y marca error en el area de correo aunque es correcto. "
Doters,1,Sigue pensando y no reacciona 
Desktop New Site,1,"No se entienden los precios, no trae opciones como adulto niño costo viaje redondo, no es bueno poner pero falta el TUA que ni se que es, de verdad mejoren y den mas seriedad a su informacion porfavor gracias"
Doters,2,Soy usuario de puntos de hace algunas semana atrás y veo que no tengo un solo punto y he realizado varías compras 
Doters,1,No puedo firmarmepara entrar a mi cuenta pido el restablecimiento de la contraseña y nunca llega el correo 
Desktop New Site,1,"Yo no seleccioné ""reembolso total"""
Desktop New Site,4,muy facil la interfaz
Desktop New Site,1,agrega servicios no seleccionados y no hay manera de eliminarlos 
Desktop New Site,1,"no hay manera de eliminar los ""otros servicios""."
Desktop New Site,1,La página no me deja pagar con mi tarjeta de crédito. Lo intenté varias veces y verifiqué que la información se ingresó correctamente. Probé diferentes navegadores y en diferentes días y sigo recibiendo el mismo error.
Desktop New Site,1,"Me están haciendo el cago de algo que yo no pedí, que es ""re embolso total"" y cuando trato de cancelar ese cobro, no existe el apartado donde se pueda cancelar y en ninguna parte de la página mencionan la razón por la cual me quieren cobrar dicho cargo. Eso es trampa, fraude o extorsión. "
Desktop New Site,2,soy Silvia Thome Barron nunca puedo conseguir una promoción o oferta no se puede pagar en linea con mi tarjeta no puedo reservar y termino llamando a la linea y se me fue el precio a lo triple y nunca puedo hacer nada
Doters,4,Que no den tan cara la comida en el avión 
Doters,1,Nunca me abonan los puntos. No sirve de nada 
Desktop New Site,1,No puedo agregar equipaje
Doters,5,Muy bien 
Desktop New Site,1,"Deseo felicitarlos porque han demostrado ser la empresa en que MENOS SE PUEDE CONFIAR PARA COMPRAR VIAJES A FUTURO. Tengo años volando con ustedes y ya me cansé de que nada más sean ustedes los que disponen de nuestro tiempo. Deseo hacerles patente que sólo conservaré el correo para garantizar mi viaje, pero con la firme promesa que es y será el último vuelo que realice con ustedes, así como la observación puntual al resto de la familia (8 miembros quienes realizamos 2 viajes, cuando menos, al año) para que se abstengan de viajar por su mugroso e inconfiable changarro. De la misma manera solicito que dejen de enviarme publicidad ENGAÑOSA."
Doters,1,"Me registré y al momento de ingresar me dice que el corre o contraseña es incorrecto, cuando acabo de hacer el registro… intento cambiar la contraseña y no manda el código ni por correo ni por msj, pésimo."
Desktop New Site,1,No deja continuar sin obligarte a seleccionar asiento
Desktop New Site,1,"Es la primera y será la última vez que utilice sus servicios para transportación aérea. Sé que muy probablemente no les afecte y/o no les interese una queja de una persona. Pero desde acudir a documentar equipaje y recibir el pase de abordar en el vuelo de ida y hasta recibir mi equipaje de regreso a la Ciudad de México, la experiencia fue a veces mala y en ocasiones muy mala.  Y para colmo, su sitio en internet NO cuenta no ninguna forma de atención al cliente para interponer una queja .justificada. como la mía. "
Desktop New Site,1,"NO SE PUEDE PAGAR SU PAGINA NO SIRVE, NI CON BANORTE NI CON AMERICAN EXPRESS"
Desktop New Site,1,No me deja crear una cuenta
Doters,2,"olvide mi contraseña , envio mi correo para reiniciar y/o cambiar contraseña y no reciben mi correo, "
Doters,1,Llevo 2 compras con doters y no veo ni un solo punto agregado a mi cuenta 
Desktop New Site,2,Me están cobrando automáticamente un servicio adicional que no requiero
Desktop New Site,1,ponen precios y aumentan el doble sin contar el tua
Desktop New Site,5,BUEN SERVICIO
Desktop New Site,2,No puedo terminar la compra de mi boleto. La pagina se congela cuando me pide seleccionar el seguro y el DUA. No puedo accesar el pago con mi tarjeta de credito. Ya probe por varios dias y en distinta computadoras. Estoy usando el browser Firefox. Que puedo hacer para poder completar y pagar mi boleto? 
Desktop New Site,2,Kindly process refund to original form of payment. PNR PGLIMX 
Desktop New Site,2,Kindly process refund to original form of payment. PNR N57T2L
Desktop New Site,2,Kindly process refund to original form of payment. PNR TFZVQA 
Doters,1,"Me pueden apoyar a revisar la pagina, no me permite recuperar mi contraseña, no envía mail a mi correo"
Doters,1,"Tengo cuenta de doters, pero no me permite recuperar mi contraseña, ya me envie muchas veces al correo el link, pero no envía nada, me pueden apoyar"
Desktop New Site,1,no puedo cambiar mi apeido
Doters,1,El código que me envían para ingresar dice que esta mal y no me deja ingresar
Doters,1,Volé de MEX a MTY y no se como registrar los vuelos para los puntos de viajero frecuente 
Doters,1,Según ya soy miembro de footers pero no tengo ningún número y no me deja entrar con mi nombre y fecha de nacimiento 
Doters,4,me gusta la inovacion
Doters,3,"como me abonan puntos ya que he viajado un par de ocaciones  ultimamente en viva aerobus y no me han hecho ningun beneficio con doters NO HAY  PUNTOS NI LO QUE DICEN,,,"
Doters,1,La verdad siempre que ciaje hay problemas para entrar a su pagina pesimo servicio 
Doters,2,"Llevo 10 viajes por etn y viva aerobus al ingresar doters para acumular mis puntos lampagina es lenta no registra marca error el punto es que no puedo registrarlos se vuelve tedioso he impractico termina por agotarme, por tratar de ingresar el beneficio tengo todos los boletos digitales en el cual puedo comprobar que hago uso frecuente de las línea de viaje agradecería el que fueran más amigables en este tema gracias y agradezco la atencion me gustaría pronto poder empezar a sumar puntos "
Feedback_Nuevo Sitio_VF,1,"Ya me cobró el segundo año, y no viene en la página ninguna opción para cancelar, el primer añor por error lo contrate y perdi mi dinero y ahora tampoco me deja cancelar ??, y ni quitar mi tarjeta para q no me sigan robando ??"
Doters,3,He realizado 2 compras seguidas con viva aerobús y al terminarlas no se agregan los doters que en teoría acumule. 
Desktop New Site,2,"parece ser que ya realice mi compra de boletos, ahora no se como pagar, Me dicen que el TUA LO PAGARÉ EN EL AEROPUERTO PERO QUIERO SABER DONDE PAGAR CON TARJETA MI VUELO.  "
Desktop New Site,4,gracias 
Desktop New Site,1,no puedo elidir una ruta para un cambio
Desktop New Site,5,"cómodo , económico y buen ambiente. "
Doters,1,"No aparecen mis puntos, he hecho 3 compras en estos últimos meses y no aparece ningún punto, ni siquiera los de bienvenida. Es una total estafa. "
Desktop New Site,1,"LGR4YX Mi vuelo fue cancelado. No pude recuperar mi dinero. Y en esta situación, solo puedo cambiar mis billetes por un certificado electrónico. Seguí el enlace, ingresé todos los datos y no pude recibir un certificado electrónico. ¿Me lo puedes enviar por correo electrónico? Su servicio está caído."
Doters,2,no viene en ningun lado explicado como usarlos???
Desktop New Site,1,no puedo usar mi saldo de viva cash
Desktop New Site,1,"ES MUY CONFUSA, QUIERO MIS VIAJE REDONDO Y NO PUEDO AVANZAR DESPUES DE SELECCIONAR MI VUELO DE SALIDA, DEBERIA SER MAS FACIL ELEGIR MIS VUELOS "
Desktop New Site,1,"SOY AGENCIA DE VIAJES  EL DIA DE AYER SAQUE LOS PASES DE ABORDAR DE ESTOS PASAJEROS Y ME DIERON 2 ASIENTOS EN LA FILA 10 Y 2  EN LA 17 Y HOY PARA ABORDAr LOS CAMBIARON !!!! TIENEN UN DESMADRE BIEN ORGANIZADO ,PERDÓN PENSÉ QUE ESTABAN ESFORZANDOSE EN MEJORAR SU SERVICIO...."
Desktop New Site,2,No me permite facturar mi vuelo
Doters,1,Ya van dos veces q compro boletos en viva y nada q tengo mis puntos doters 
Doters,1,no puedo ingresar 
Desktop New Site,2,Informacion mas  detallada de el costo del equipaje si se documenta en el escritorio previo al vuelo.
Desktop New Site,2,Estoy tratando la informacion de mi passporte y no responde 
Doters,5,Muy buena 
Doters,2,6
Desktop New Site,3,UN CHAT PARA ACLARAR DUDAS 
Desktop New Site,1,por que me agrega este cargo de servicio adicional (Reembolso total) que yo no solicite.  
Feedback_Nuevo Sitio_VF,1,"Trato de pagar con tarjeta VISA la menbresia, no es BBVA, no me acepta el pago despues de 5 intentos. Que debo hacer?"
Doters,2,Imposible recuperar contraseña/iniciar sesión 
Desktop New Site,4,"el chat de atención del numero telefónico, me dejaron colgado  cerca de 20 minutos , que  mal primero me bloquearon el numero y después em dejaron 5colgado .. dia jueves 6 de abril de las 2; 45 a las 3 con 10 minutos, cerca de 25 minutos  mejor colgué y fue apropósito, que mal viva aerobús, debut y despedida   "
Doters,2,Cree una cuenta y al entrar me dice que no es válida 
Desktop New Site,2,porque agregan elreenbolso si yo no lo pedi 
Desktop New Site,1,Servicio Adicional: REEMBOLSO TOTAL no se puede eliminar.  Hacen trampa incluyendo sin permiso y obligando a pagar sin que podamos editar ese servicio. Llevo media hora tratando de encontrar donde esta la opcion de agregar o eliminar el REEMBOLSO TOTAL y no encuentro....
Doters,1,Me dice inicio de sesión pero nunca me deja acceder a ver la cantidad de puntos acumulados 
Desktop New Site,3,"Hola, buen día solamente para notificarles que es necesario que sean más claros con sus horarios de ingreso a abordar por que por falta de esa información  perdí mi vuelo ya sea 20 min o lo que sea antes de la salida pero es necesario que sean más claros y al momento de adquirir un vuelo que sea lo primero que mencionen."
Desktop New Site,4,UN BOTON PARA CERRAR LA SESION
Doters,5,No me las opciones. Ya llevo muchas veces intentanto
Doters,1,No sirve para nada está chingadera
Desktop New Site,2,"pongan el precio del TUA en cada vuelo, por favor"
Desktop New Site,1,Nunca agregué el reembolso total y me lo están cobrando
Desktop New Site,1,Tengo 45 minutos y el pago no concluge 
Doters,2,"No recuerdo la contraseña que está mi correo dado de alta en doters, pero no recuerdo la contraseña. "
Doters,1,No deja registrarse 
Doters,1,No puede entrar uno
Desktop New Site,1,"Ya intente de comprar membresia 20 veces y ustedes no me corrigiron el problema.  Soy ciudadano de EUA y no tengo cuentas en bancos mexicanos ni tarjeta mexicana.  No se puede cargar el costo a mi tarjetas de creditos.  Si, intente con 4 tarjetas de Visa, Mastercard, Discover.  Cuando compro los vuelos, pago con Paypal.  Es la manera mas exitosa.  Porque no tienen opcion de pagar por medio de Paypal en la VivaFan pagina????  Hay error o problema en su sistema de pago.  Quiero ahorrar pero no puedo.   :("
Desktop New Site,1,La aplicacion me incluye como adicional un seguro de reembolso total que no estoy interesada en tomar y no permite quitarlo. Es un error de pagina? O es una imposicion de la aerolinea?
Desktop New Site,4,que mi información quedara guardada por una hora a fin de no volver a iniciar con todos mis datos
Desktop New Site,2,No se puede editar la búsqueda. Se idea así sin poderla cambiar.
Doters,5,Felicidades 
Doters,5,Me gusta mucho su servicio 
Desktop New Site,1,"no puedo quitar el adicional ""reembolso total"" venden lo que quieren, no lo que el cliente necesita"
Desktop New Site,1,"Al intentar realizar una compra, me cambió el precio del producto, pensé que era por una actualización del costo, pero cuando vuelvo a cotizar el precio, me aparece nuevamente el costo que coticé al principio.  Nuevamente intento realizar la compra, pero no me permite continuar y me vuelve a cambiar el precio del producto."
Desktop New Site,4,No tienen vuelos directos de Tuxtla Gutiérrez hacia el aeropuerto Felipe Ángeles. No se si sea un lío político que tengan con el nuevo Gobierno pero a muchas personas nos gustaría conocer ese aeropuerto independientemente a lo que digan los medios que están en pugna con AMLO. Se están perdiendo de un buen mercado.
Desktop New Site,1,No valen nada porque sobrevenden vuelos cuando gente ya compro no puede ser falta su falta de organizacion y ser responsables para que existe comprar el vuelo entonces de ni madres porque ni sirve comprarlo. No puede ser enserio estaba teniendo muy buen dia hasta esto.
Desktop New Site,1,"Que personal mas inepto e ineficiente tienen en esta empresa, ni que decir del servicio telefonico. Sr. Juan Carlos Zuazua, por favor reforme su call center con mejores procesos y empleados responsables y eficientes, no es posible que en EUA pueda hacer cualquier movimiento de mis vuelos en menos de 15minutos. Con ustedes me he pasado tres dias tratando de hacer una cancelacion de vuelo con seguro comprado y me traen como pelota de ping pong, nadie me resuelve nada. Ya estoy harto,me tardan horas en contestar en el call center para luego decirme que ellos no hacen eso y me pasan a otro telefono que me dicen exactamente lo mismo. Que es esto???"
Doters,4,Chido
Desktop New Site,2,"El cargo de ""Reembolso total"" es obligatorio, no he encontrado una manera de deshalitarlo. Al aparecer al final me parece una falta de respeto que no se haya incluido desde un principio teniendo en cuento que es obligatorio y no hay forma de quitarlo. Me hicieron perder mi tiempo."
Desktop New Site,1,Se me cargo adicional un servicio extra que nunca agregué y sin mi autorización
Doters,2,"Me llega el código de seguridad al correo, pero al introducirlo  me marca error. Estoy lo repetí 3 veces. "
Desktop New Site,2,Me cambiaron de vuelo y estoy intentando ingresar mi clave de reservacion/ apellidos para generar el certificado electrónico y no me deja entrar. Ya lo intente en varios dispositivos y si estoy ingresando la información correcta porque en check in por ejemplo si puedo entrar pero para generar el certificado electronico no puedo.
Desktop New Site,1,no respetan los msi de pago con tarjeta con el banco scotianbank
Desktop New Site,1,NO ME PERMITE HACER EL CHECK IN.
Desktop New Site,1,ya iba a pagar 7800 pesos y derepente te agregan 3 coberturas que no elegi y no las puedes quitar!!!!! no es justo
Desktop New Site,1,mm
Desktop New Site,2,NO PUEDEN AGREGAR UN CARGO ADICIONAL A MI RESERVACION QUE NO NECESITO COMO EL REEMBOLSO TOTAL SIN DAR OPORTUNIDAD DE QUITARLO DEL SALDO A PAGAR
Desktop New Site,1,Me quieren volver a cobrar el tua al cambiar mi vuelo aunque es una opcion gratuita. esto es un robo y lo reportaré ante profeco si no se comunican conmigo en 12 horas
Desktop New Site,2,necesito modificar mi reservación
Desktop New Site,1,QUIERO QUITAR ESE CAOBRO DE REEMBOLSO TOTAL. ESTA SUPER IMPUESTO POR LA PAGINA Y NO ME INTERESA. COMO LO PUEDEN REMOVEER
Desktop New Site,1,POR QUE APARECE ESTE CARGO QUE NO APLIQUE Y NO SE PUEDE REMOVER. NO SE EXPLICA EN NINGUN MOMENTO Y ES UNA IMPOSICION. DA MUCHO CORAJE QUE DESGLOSEN TODO PARA QUE UNO PAGUE LO QUE QUIERE Y NO Y AL FINAL TE OBLIGAN A PAGAR ESO 
Desktop New Site,1,"No puedo hacer el pago eh intentado con 6 tarjetas diferentes, de debito , credito mastercard visa  y ninguna me acepta solo dice intenta con otro metodo de pago y no puedo proceder con la compra"
Desktop New Site,1,"QUIERO CAMBIAR MI VUELO PARA MAS TARDE, PERO NO HAY Y NO ME PERMITE CAMBIAR DE AEROPUERTO"
Desktop New Site,1,No puedo eliminar de mi carro de compras
Desktop New Site,3,No me recibe la tarjeta aunque los datos estan correctos no puedo hacer mi compra.
Desktop New Site,1,Me están cobrando el reembolso total y no lo quiero
Desktop New Site,1,NO PUEDOGUARDAR LA CONFIGURACION DEL NOMBRE DEL PASAJERO
Desktop New Site,2,"no me da el tipo de equipaje,y me dice que no vuela a Leon Bajio,lo hice varias veces y me manda a otro lado,LLame tel.y cuando casi lo terminavamos se corto y se perdio todo y volver a esperer en la linea otros 40  min."
Desktop New Site,2,no agarra los MSI
Desktop New Site,1,"NO HAY MODO DE CONTACTAR, NO CONTESTAN LA LINEA TELEFONICA"
Doters,4,Me parece muy bien que tengan programa de puntos 
Desktop New Site,2,"No me permite seleccionar un asiento en primera fila para Héctor Jesús, hay algun motivo? ya que si está disponible el asiento."
Desktop New Site,2,No me da la opción de borrar el vuelo elegido. Ya que aun no confirma mi cliente su salida
Desktop New Site,3,No me recibe el pago con ninguna tarjeta 
Desktop New Site,1,5225
Desktop New Site,2,"PORQUE LOS PRECIOS NO INCLUYEN EL TUA???, ES UNA LATA ESTAR VIENDO PRECIOS QUE NO SON."
Desktop New Site,3,No me deja hacer check in
Desktop New Site,1,no puedo hacer una compra
Desktop New Site,2,pongo su direccion y sale otra pagina  Destinos .com.No es facil cambiar la clase
Desktop New Site,2,"quiero  comprar mi tiquete sin el ""reembolso total"" pero  a la final parece ser obligatorio porque no tengo donde quitarlo. esto es muy maluco porque yo no quiero seguros"
